symbol,code,name,current,chg,percent,last_close,open,high,low,volume,amount,marketcapital,pe_ttm,high52w,low52w,hasexist,stock_type,crawl_time
SH600156,SH600156,华升股份,8.88,-0.72,-7.5,9.6,9.49,9.64,8.8,22528500,205175452.0,3570743034.0,0.0,10.66,4.0544,false,sha,2025-11-22 12:31:53
SH600157,SH600157,永泰能源,1.57,-0.07,-4.27,1.64,1.62,1.65,1.56,1214140885,1948111719.0,34253889708.0,116.309,2.14,1.25,false,sha,2025-11-22 12:31:53
SH600158,SH600158,中体产业,8.46,-0.32,-3.64,8.78,8.76,8.8,8.46,27731871,237999766.0,8117480547.0,437.44,10.8655,7.1439,false,sha,2025-11-22 12:31:53
SH600159,SH600159,大龙地产,3.03,-0.18,-5.61,3.21,3.2,3.25,3.03,30877901,96187127.0,2514909793.0,0.0,3.77,1.99,false,sha,2025-11-22 12:31:53
SH600160,SH600160,巨化股份,33.2,-1.23,-3.57,34.43,34.15,34.2,33.2,18386299,618637097.0,89631569889.0,22.638,41.95,20.1936,false,sha,2025-11-22 12:31:53
SH600161,SH600161,天坛生物,17.61,-0.41,-2.28,18.02,18.0,18.04,17.59,12461187,221150853.0,34821511164.0,26.457,23.3036,17.59,false,sha,2025-11-22 12:31:53
SH600162,SH600162,香江控股,1.98,-0.11,-5.26,2.09,2.06,2.08,1.96,98577814,198441514.0,6471507482.0,0.0,3.17,1.4705,false,sha,2025-11-22 12:31:53
SH600163,SH600163,中闽能源,5.32,-0.18,-3.27,5.5,5.44,5.54,5.31,31640435,170482556.0,10123939481.0,17.76,6.4997,4.6384,false,sha,2025-11-22 12:31:53
SH600165,SH600165,*ST宁科,3.96,-0.07,-1.74,4.03,3.99,4.09,3.94,11293523,45154183.0,2712139749.0,0.0,5.4,1.77,false,sha,2025-11-22 12:31:53
SH600166,SH600166,福田汽车,2.75,-0.12,-4.18,2.87,2.84,2.85,2.75,136377004,380812482.0,21772851009.0,28.611,3.13,2.22,false,sha,2025-11-22 12:31:53
SH600167,SH600167,联美控股,8.98,-0.61,-6.36,9.59,9.4,9.47,8.82,50483707,461300482.0,20320307358.0,29.281,10.56,5.044,false,sha,2025-11-22 12:31:53
SH600168,SH600168,武汉控股,5.17,-0.13,-2.45,5.3,5.26,5.32,5.1,23462820,121839954.0,5135865432.0,52.155,6.79,4.0366,false,sha,2025-11-22 12:31:53
SH600169,SH600169,ST太重,2.38,-0.07,-2.86,2.45,2.44,2.44,2.37,55133750,132680870.0,7966105545.0,37.894,3.02,2.05,false,sha,2025-11-22 12:31:53
SH600170,SH600170,上海建工,2.71,-0.13,-4.58,2.84,2.82,2.83,2.71,264926730,731792946.0,24080896706.0,11.877,3.88,2.2943,false,sha,2025-11-22 12:31:53
SH600171,SH600171,上海贝岭,30.98,-1.12,-3.49,32.1,31.95,32.0,30.96,13610301,426094179.0,21962443927.0,60.799,47.217,27.1446,false,sha,2025-11-22 12:31:53
SH600172,SH600172,黄河旋风,6.14,-0.24,-3.76,6.38,6.27,6.45,6.14,102380566,642496347.0,8855012683.0,0.0,8.49,3.02,false,sha,2025-11-22 12:31:53
SH600173,SH600173,卧龙新能,7.52,-0.39,-4.93,7.91,7.86,7.86,7.5,16661700,126969421.0,5267806955.0,0.0,10.89,3.76,false,sha,2025-11-22 12:31:53
SH600176,SH600176,中国巨石,14.82,-0.66,-4.26,15.48,15.2,15.35,14.79,41601982,625304557.0,59326486309.0,17.049,17.3933,10.1437,false,sha,2025-11-22 12:31:53
SH600177,SH600177,雅戈尔,7.62,-0.15,-1.93,7.77,7.77,7.77,7.58,25508836,195302367.0,35230627293.0,13.526,9.4718,7.0082,false,sha,2025-11-22 12:31:53
SH600178,SH600178,东安动力,11.79,-0.38,-3.12,12.17,12.15,12.15,11.72,7667491,91037144.0,5499753938.0,1359.002,16.0,8.8767,false,sha,2025-11-22 12:31:53
SH600179,SH600179,安通控股,4.09,-0.24,-5.54,4.33,4.23,4.34,4.09,91721433,382978668.0,17306945344.0,15.549,5.05,2.5,false,sha,2025-11-22 12:31:53
SH600180,SH600180,瑞茂通,4.45,-0.15,-3.26,4.6,4.58,4.62,4.44,22342615,100833925.0,4835492215.0,301.325,6.0136,3.8404,false,sha,2025-11-22 12:31:53
SH600182,SH600182,S佳通,15.0,-0.56,-3.6,15.56,15.48,15.57,14.98,3318200,50274768.0,5100000000.0,36.527,18.709,12.8199,false,sha,2025-11-22 12:31:53
SH600183,SH600183,生益科技,53.11,-2.84,-5.08,55.95,54.19,55.2,53.01,30642867,1650297910.0,129010522305.0,45.918,71.99,19.5932,false,sha,2025-11-22 12:31:53
