compcode,compname,engname,founddate,regcapital,chairman,manager,leconstant,accfirm,regaddr,officeaddr,compintro,bizscope,majorbiz,compsname,region
SZ000001,平安银行股份有限公司,"Ping An Bank Co., Ltd.",1987-12-22,19405918198,谢永林,胡跃飞,深圳市,安永华明会计师事务所,广东省深圳市,广东省深圳市,平安银行股份有限公司是一家全国性股份制商业银行,银行业务,商业银行业务,平安银行,深圳
SH600000,上海浦东发展银行股份有限公司,"Shanghai Pudong Development Bank Co.,Ltd.",19921019,2935208.04,高国富,刘信义,上海市联合律师事务所,普华永道中天会计师事务所,上海市中山东一路12号,"上海市中山东一路12号,香港中环夏悫道12号美国银行中心15及24楼","    上海浦东发展银行股份有限公司为1992年8月28日经中国人民银行总行以银复(1992)350号文批准设立的股份制商业银行,1992年10月19日由上海市工商行政管理局颁发法人营业执照,1993年1月9日正式开业。上海浦东发展银行股份有限公司于1999年11月10日上市交易。",吸收公众存款;发放短期、中期和长期贷款;办理结算;办理票据贴现;发行金融债券;代理发行、代理兑付、承销政府、买卖政府债券;同业拆借;提供信用证服务及担保;代理收付款项及代理保险业务;提供保管箱服务;外汇存款、外汇贷款、外汇汇款、外币兑换;国际结算;同业外汇拆借;外汇票据的承兑和贴现;外汇借款、外汇担保;结汇、售汇;买卖和代理买卖股票以外的外币有价证券;自营和代客外汇买卖;从事银行卡业务;资信调查、咨询、见证业务;离岸银行业务;经批准的其它业务。,吸收公众存款;发放短期、中期和长期贷款;办理结算;办理票据贴现;发行金融债券;代理发行、代理兑付、承销政府债券;买卖政府债券;同业拆借;提供信用证服务及担保;代理收付款项及代理保险业务;提供保险箱业务;外汇存款;外汇贷款;外汇汇款;外币兑换;国际结算;同业外汇拆借;外汇票据的承兑和贴现;外汇借款;外汇担保;结汇、售汇;买卖和代理买卖股票以外的外币有价证券;自营外汇买卖;代客外汇买卖;资信调查、咨询、见证业务;离岸银行业务;证券投资基金托管业务;全国社会保障基金托管业务;经中国人民银行和中国银行业监督管理委员会批准经营的其他业务。,浦发银行,CN310000
SH600004,广州白云国际机场股份有限公司,Guangzhou Baiyun International Airport Company Limited,20000919,206932.05,邱嘉臣,邱嘉臣(代),北京市竞天公诚律师事务所,立信会计师事务所(特殊普通合伙),广东省广州市白云国际机场南工作区自编一号,广东省广州市白云国际机场南工作区自编一号股份公司本部办公大楼,"    广州白云国际机场股份有限公司(以下简称 股份公司 或 公司 )系根据<中华人民共和国公司法>等有关法规,经中国民用航空总局 民航体函[1998]64号 文、 民航政法函[2000]478号 文和中华人民共和国国家经济贸易委员会 国经贸企改[2000]826号 文批准设立,公司是以广州白云国际机场集团公司(以下简称 机场集团 )作为主发起人,联合中国国际航空公司、中国民航机场建设总公司、广州白云国际机场有限公司和广州交通投资有限公司四家企业共同发起,采用发起设立方式设立的股份有限公司。","旅客过港服务;与航空运输有关的地面服务、交通运输和仓储服务;航空设施使用服务;提供航空营业场所;航空器维修(凭资质证书经营);航空代理、航空保险销售代理业务;航空运输技术协作中介服务;行李封包业务;航空应急救援服务;航空信息咨询服务;航空运输业务有关的延伸服务;普通货物运输;代办报关手续服务。以下业务由分支机构经营:汽车和机电设备维修,汽车、摩托车安全技术检验(持交警部门委托证书经营);包车客运、班车客运、出租车客货及客运站经营;饮食、住宿服务;食品加工;广告业务;国内商业(专营专控商品凭许可证经营);销售小轿车;供电系统运行管理,电气设备设施维修维护;供水系统运行管理(含二次加压),供水设备设施维护维修;水电计量管理;机场助航灯光设备技术咨询、检修及更新改造项目;机场专用设备、设施的安装、维修及相关服务;建筑设施装饰维修、道路维修;园林绿化设计、施工;培育花卉、苗木;销售园林机械设备;收购农副产品(烟草除外);过境货物运输;停车场经营、汽车租赁,场地出租;展览展示服务;电子商务。销售百货;销售纺织、服装及日用品;销售文化、体育用品及器材;销售食品、饮料及烟草制品;销售家用电器及电子产品;互联网零售。污水处理。(依法须经批准的项目,经相关部门批准后方可开展经营活动)。","以广州新白云机场为经营载体,从事飞机起降服务、航空客货过港服务等航空性业务和航空客货代理、航空配餐、航站楼商业场所租赁经营等非航空性业务。",白云机场,CN440000
